Caller	CallerFile	Callee	CalleeFile	Repo	Root	Class	Kind	Depth	Confidence	NCandidates
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	a_set_up_paths_always_run_first	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/b_copy_to_local_scripts_dir_and_modify/a_set_up_paths_always_run_first.m	CANlab_help_examples	/data/master_github_repos/CANlab_help_examples		script	1	resolved	1
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	fmri_mask_image	/data/master_github_repos/CanlabCore/CanlabCore/@fmri_mask_image/fmri_mask_image.m	CanlabCore	/data/master_github_repos/CanlabCore	fmri_mask_image	method	1	resolved	1
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	load_atlas	/data/master_github_repos/CanlabCore/CanlabCore/Data_extraction/load_atlas.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	merge_atlases	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/merge_atlases.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	resolved	1
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	select_atlas_subset	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/select_atlas_subset.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	resolved	1
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	dotcall	4
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@glm_map/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	glm_map	method	1	dotcall	4
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@image_vector/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	image_vector	method	1	dotcall	4
LaBGAScore_atlas_binary_mask_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_binary_mask_from_atlas.m	threshold	/data/master_github_repos/CanlabCore/CanlabCore/@statistic_image/threshold.m	CanlabCore	/data/master_github_repos/CanlabCore	statistic_image	method	1	dotcall	4
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	a_set_up_paths_always_run_first	/data/master_github_repos/CANlab_help_examples/Second_level_analysis_template_scripts/b_copy_to_local_scripts_dir_and_modify/a_set_up_paths_always_run_first.m	CANlab_help_examples	/data/master_github_repos/CANlab_help_examples		script	1	resolved	1
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	addblobs	/data/master_github_repos/CanlabCore/CanlabCore/@fmridisplay/addblobs.m	CanlabCore	/data/master_github_repos/CanlabCore	fmridisplay	method	1	resolved	1
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	atlas2region	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/atlas2region.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	resolved	1
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	canlab_results_fmridisplay	/data/master_github_repos/CanlabCore/CanlabCore/Visualization_functions/canlab_results_fmridisplay.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	load_atlas	/data/master_github_repos/CanlabCore/CanlabCore/Data_extraction/load_atlas.m	CanlabCore	/data/master_github_repos/CanlabCore		function	1	resolved	1
LaBGAScore_atlas_rois_from_atlas	/data/master_github_repos/LaBGAScore/atlas_mask_tools/LaBGAScore_atlas_rois_from_atlas.m	merge_atlases	/data/master_github_repos/CanlabCore/CanlabCore/@atlas/merge_atlases.m	CanlabCore	/data/master_github_repos/CanlabCore	atlas	method	1	resolved	1
